Date,Open,High,Low,Close,Adj Close,Volume
2022-09-20,109.339996,109.720001,106.320000,106.379997,95.513054,104172054
2022-09-21,107.980003,109.384003,106.900002,108.779999,97.667885,249139048
2022-09-22,108.500000,109.980003,108.080002,108.860001,97.739716,120555593
2022-09-23,109.059998,109.919998,107.480003,108.120003,97.075310,105623844
2022-09-26,109.760002,109.900002,105.680000,106.660004,95.764450,122626813
2022-09-27,107.180000,107.739998,105.558998,105.559998,94.776810,95417607
2022-09-28,105.540001,105.870003,102.239998,105.120003,94.381767,108745608
2022-09-29,104.779999,105.419998,101.199997,101.839996,91.436813,99746684
2022-09-30,101.260002,103.220001,100.660004,101.120003,90.790375,95922261
2022-10-03,100.500000,104.779999,99.589996,103.720001,93.124779,193644803
2022-10-04,104.599998,107.153999,104.519997,104.980003,94.256065,113286707
2022-10-05,104.940002,106.028999,101.720001,102.580002,92.101227,111620698
2022-10-06,102.559998,102.779999,101.459999,101.599998,91.221336,237222884
2022-10-07,101.199997,101.997002,100.139999,100.519997,90.251656,51141052
2022-10-10,100.639999,102.599998,100.120003,101.480003,91.113594,58247254
2022-10-11,101.540001,101.813004,100.559998,101.300003,90.951988,75854875
2022-10-12,101.620003,101.620003,97.400002,98.949997,88.842041,78090771
2022-10-13,97.839996,101.400002,97.680000,99.389999,89.237091,116438549
2022-10-14,100.500000,101.519997,99.260002,99.589996,89.416664,64794015
2022-10-17,99.430000,100.568001,98.879997,100.019997,89.802742,67468297
2022-10-18,100.480003,100.800003,99.480003,99.610001,89.434616,57995391
2022-10-19,100.480003,101.660004,99.330002,101.160004,90.826286,75464627
2022-10-20,100.919998,101.919998,98.370003,98.720001,88.635536,82235225
2022-10-21,98.889999,99.309998,97.620003,98.589996,88.518814,72728877
2022-10-24,98.949997,100.720001,98.239998,99.580002,89.407684,71063894
2022-10-25,99.870003,100.360001,98.580002,98.669998,88.590645,62951718
2022-10-26,98.879997,99.519997,98.320000,98.769997,88.680420,86516860
2022-10-27,99.269997,99.570000,98.389999,98.669998,88.590645,67282096
2022-10-28,97.680000,100.209999,97.680000,99.809998,89.614189,51196217
2022-10-31,99.730003,101.760002,99.410004,101.639999,91.257256,57480023
2022-11-01,102.360001,102.940002,101.739998,102.559998,92.083267,49241793
2022-11-02,102.540001,103.480003,101.440002,103.320000,92.765640,57111455
2022-11-03,102.980003,103.379997,102.120003,102.440002,91.975533,54591395
2022-11-04,102.480003,105.092003,102.000000,104.760002,94.058540,136603062
2022-11-07,104.660004,105.400002,103.879997,104.720001,94.022621,48269271
2022-11-08,104.779999,108.000000,104.599998,106.239998,95.387352,76362587
2022-11-09,106.120003,106.800003,103.540001,104.099998,93.465958,71897022
2022-11-10,103.540001,107.339996,103.360001,105.760002,94.956390,64671715
2022-11-11,105.000000,105.000000,102.800003,103.720001,93.124779,115300484
2022-11-14,103.980003,105.480003,103.680000,104.160004,93.519829,131581286
2022-11-15,101.699997,102.000000,94.610001,95.889999,86.094627,446755774
2022-11-16,95.000000,97.699997,94.978996,97.160004,87.234894,131249420
2022-11-17,97.190002,97.320000,95.860001,96.419998,86.570480,86932231
2022-11-18,96.589996,98.010002,96.339996,97.419998,87.468330,187183743
2022-11-21,97.320000,98.860001,96.870003,98.110001,88.087852,191854939
2022-11-22,96.089996,97.010002,94.660004,95.000000,85.295540,202912017
2022-11-23,95.000000,95.349998,93.853996,94.660004,84.990280,417216466
2022-11-24,90.930000,92.949997,89.870003,92.669998,87.356354,95061524
2022-11-25,93.000000,93.449997,92.519997,93.059998,87.723991,65971701
2022-11-28,92.580002,93.400002,92.489998,92.809998,87.488327,140477510
2022-11-29,92.339996,93.000000,91.449997,91.839996,86.573944,168846967
2022-11-30,92.720001,93.070000,91.699997,91.839996,86.573944,106337509
2022-12-01,92.669998,93.401001,91.430000,91.519997,86.272293,66236785
2022-12-02,91.550003,92.160004,90.875999,91.139999,85.914085,72037740
2022-12-05,92.430000,93.180000,90.760002,91.019997,85.800964,101505352
2022-12-06,90.500000,91.110001,88.559998,89.269997,84.151306,102486122
2022-12-07,88.639999,92.339996,86.360001,87.660004,82.633629,175372792
2022-12-08,87.320000,87.550003,84.949997,85.930000,81.002823,113007384
2022-12-09,86.110001,86.889999,85.570000,86.750000,81.775803,224198613
2022-12-12,86.449997,87.639999,85.940002,87.059998,82.068024,128644080
2022-12-13,87.000000,87.970001,85.820000,86.489998,81.530708,91862215
2022-12-14,85.879997,86.809998,85.339996,86.339996,81.389313,113438867
2022-12-15,86.230003,86.410004,85.360001,85.980003,81.049957,91945925
2022-12-16,85.940002,85.940002,83.237000,83.760002,78.957253,405388648
2022-12-19,84.120003,84.879997,83.769997,84.290001,79.456863,158350402
2022-12-20,84.000000,84.389999,83.550003,83.800003,78.994957,65793782
2022-12-21,83.440002,84.839996,83.290001,84.500000,79.654816,57924891
2022-12-22,84.360001,84.830002,83.730003,83.730003,78.928970,150579809
2022-12-23,84.029999,84.599998,83.669998,83.900002,79.089226,105278913
2022-12-28,84.639999,85.430000,84.110001,84.470001,79.626541,136610426
2022-12-29,84.239998,85.360001,83.690002,85.120003,80.239273,50588117
2022-12-30,84.540001,85.005997,84.230003,84.239998,79.409721,33898199
2023-01-03,84.959999,86.370003,84.638000,85.910004,80.983971,97346367
2023-01-04,86.220001,87.900002,85.669998,87.809998,82.775024,81214280
2023-01-05,87.720001,88.809998,87.519997,88.769997,83.679977,80181869
2023-01-06,88.940002,89.529999,88.470001,88.709999,83.623421,48456656
2023-01-09,88.699997,89.360001,87.510002,88.690002,83.604568,70150138
2023-01-10,88.779999,89.099998,87.589996,87.720001,82.690186,84351249
2023-01-11,88.160004,89.608002,87.820000,87.820000,82.784454,150371030
2023-01-12,89.589996,92.349998,89.510002,92.050003,86.771912,117570270
2023-01-13,92.370003,92.459999,91.250000,91.610001,86.357132,134126058
2023-01-16,91.750000,93.300003,91.459999,93.300003,87.950233,143621923
2023-01-17,93.779999,93.820000,92.180000,92.180000,86.894455,108416323
2023-01-18,92.980003,93.400002,90.690002,90.690002,85.489891,295577263
2023-01-19,90.699997,91.139999,89.852997,90.260002,85.084541,75515531
2023-01-20,90.809998,91.959999,90.120003,91.879997,86.611649,79695640
2023-01-23,92.370003,92.458000,91.529999,91.529999,86.281723,61438352
2023-01-24,92.000000,92.389999,91.370003,92.139999,86.856743,92878520
2023-01-25,91.940002,92.330002,91.330002,92.330002,87.035851,75050875
2023-01-26,92.790001,94.389999,92.239998,92.339996,87.045273,97708675
2023-01-27,92.489998,93.419998,91.930000,93.419998,88.063347,125268780
2023-01-30,93.709999,93.860001,93.019997,93.550003,88.185898,171047410
2023-01-31,93.930000,94.529999,92.709999,93.120003,87.780556,210118648
2023-02-01,92.099998,92.144997,90.019997,91.180000,85.951790,191759782
2023-02-02,91.400002,94.879997,90.800003,94.839996,89.401924,176465160
2023-02-03,94.110001,94.132004,91.139999,91.139999,85.914085,173485203
